"email_base","market","asset_name","email_display_name","sfmc_reference_name","journey_name","path_name","email_slug","preview_file","preview_url","has_ampscript","source_system","preview_source","generation_method","status","match_method","sfmc_search_term","sfmc_name_pattern"
"JBAR_MU_OPP_BR_Main_Autoreply_RefBlock","WWAFR","","Main AR - BR with referral block","JBAR_MU_OPP_BR_Main_Autoreply_RefBlock_ALL","Autoreplies","Main Autoreply","jbar-mu-opp-br-main-autoreply-refblock","WWAFR/jbar-mu-opp-br-main-autoreply-refblock-wwafr.html","https://cc-content-static.pages.dev/WWAFR/jbar-mu-opp-br-main-autoreply-refblock-wwafr.html","true","SFMC","GitHub static preview","github_folder_scan","ready","sfmc_email_base_slug","JBAR_MU_OPP_BR_Main_Autoreply_RefBlock","JBAR_MU_OPP_BR_Main_Autoreply"
"JBAR_MU_OPP_PQ_Main_Autoreply","WWAFR","","Main AR - PQ","JBAR_MU_OPP_PQ_Main_Autoreply_ALL","Autoreplies","Main Autoreply","main-ar-pq","WWAFR/main-ar-pq-wwafr.html","https://cc-content-static.pages.dev/WWAFR/main-ar-pq-wwafr.html","true","SFMC","GitHub static preview","github_folder_scan","ready","preview_slug","JBAR_MU_OPP_PQ_Main_Autoreply","{sfmc_email_base}_{market}"
"JBAR_MU_OPP_PQ_Main_Autoreply_RefBlock","WWAFR","","Main AR - PQ with referral block","JBAR_MU_OPP_PQ_Main_Autoreply_RefBlock_ALL","Autoreplies","Main Autoreply","jbar-mu-opp-pq-main-autoreply-refblock","WWAFR/jbar-mu-opp-pq-main-autoreply-refblock-wwafr.html","https://cc-content-static.pages.dev/WWAFR/jbar-mu-opp-pq-main-autoreply-refblock-wwafr.html","true","SFMC","GitHub static preview","github_folder_scan","ready","sfmc_email_base_slug","JBAR_MU_OPP_PQ_Main_Autoreply_RefBlock","JBAR_MU_OPP_PQ_Main_Autoreply"
"EDM_CEN_MU_BKN_BknConfirmation","WWAPT","","Booking Confirmation","EDM_CEN_MU_BKN_BknConfirmation_ALL","Autoreplies","Booking path","booking-confirmation","WWAPT/booking-confirmation-wwapt.html","https://cc-content-static.pages.dev/WWAPT/booking-confirmation-wwapt.html","true","SFMC","GitHub static preview","github_folder_scan","ready","preview_slug","EDM_CEN_MU_BKN_BknConfirmation","{sfmc_email_base}_{market}"
"EDM_CEN_MU_BKN_CampusConnectRem","WWAPT","","Campus Connect - download reminder","EDM_CEN_MU_BKN_CampusConnectRem_ALL","Booking Journey","Booking path","campus-connect-download-reminder","WWAPT/campus-connect-download-reminder-wwapt.html","https://cc-content-static.pages.dev/WWAPT/campus-connect-download-reminder-wwapt.html","true","SFMC","GitHub static preview","github_folder_scan","ready","preview_slug","EDM_CEN_MU_BKN_CampusConnectRem","{sfmc_email_base}_{market}"
"EDM_CEN_MU_BKN_CampusConnectTY","WWAPT","","Campus Connect - welcome","EDM_CEN_MU_BKN_CampusConnectTY_ALL","Booking Journey","Booking path","campus-connect-welcome","WWAPT/campus-connect-welcome-wwapt.html","https://cc-content-static.pages.dev/WWAPT/campus-connect-welcome-wwapt.html","true","SFMC","GitHub static preview","github_folder_scan","ready","preview_slug","EDM_CEN_MU_BKN_CampusConnectTY","{sfmc_email_base}_{market}"
"EDM_CEN_MU_BKN_OfficeReview","WWAPT","","Booking advocacy - Google review","EDM_CEN_MU_BKN_OfficeReview_ALL","Booking Journey","Booking path","booking-advocacy-google-review","WWAPT/booking-advocacy-google-review-wwapt.html","https://cc-content-static.pages.dev/WWAPT/booking-advocacy-google-review-wwapt.html","true","SFMC","GitHub static preview","github_folder_scan","ready","preview_slug","EDM_CEN_MU_BKN_OfficeReview","{sfmc_email_base}_{market}"
"EDM_CEN_MU_BKN_ThankYou","WWAPT","","Booking Thank You","EDM_CEN_MU_BKN_ThankYou_ALL","Autoreplies","Booking path","booking-thank-you","WWAPT/booking-thank-you-wwapt.html","https://cc-content-static.pages.dev/WWAPT/booking-thank-you-wwapt.html","true","SFMC","GitHub static preview","github_folder_scan","ready","preview_slug","EDM_CEN_MU_BKN_ThankYou","{sfmc_email_base}_{market}"
"EDM_CEN_MU_Opp_JBCON_REFERRALS_Referee_AR","WWAPT","","Referral AR - referee","EDM_CEN_MU_Opp_JBCON_REFERRALS_Referee_AR_ALL","Autoreplies","Referral: Referrer and referred autoreply","referral-ar-referee","WWAPT/referral-ar-referee-wwapt.html","https://cc-content-static.pages.dev/WWAPT/referral-ar-referee-wwapt.html","true","SFMC","GitHub static preview","github_folder_scan","ready","preview_slug","EDM_CEN_MU_Opp_JBCON_REFERRALS_Referee_AR","{sfmc_email_base}_{market}"
"EDM_CEN_MU_Opp_JBCON_REFERRALS_referrer-notification","WWAPT","","Referral AR - referrer notification","EDM_CEN_MU_Opp_JBCON_REFERRALS_referrer-notification_ALL","Autoreplies","Referral: Referrer and referred autoreply","referral-ar-referrer-notification","WWAPT/referral-ar-referrer-notification-wwapt.html","https://cc-content-static.pages.dev/WWAPT/referral-ar-referrer-notification-wwapt.html","true","SFMC","GitHub static preview","github_folder_scan","ready","preview_slug","EDM_CEN_MU_Opp_JBCON_REFERRALS_referrer-notification","{sfmc_email_base}_{market}"
"EDM_CEN_MU_Ret_JB_Ret-TravelAgain_1_WelcomeHome","WWAPT","","TravelAgain Auto - Welcome Home","EDM_CEN_MU_Ret_JB_Ret-TravelAgain_1_WelcomeHome_ALL","Opportunity MQL Journey","""To Contact"" path (Returner travel again auto)","travelagain-auto-welcome-home","WWAPT/travelagain-auto-welcome-home-wwapt.html","https://cc-content-static.pages.dev/WWAPT/travelagain-auto-welcome-home-wwapt.html","true","SFMC","GitHub static preview","github_folder_scan","ready","preview_slug","EDM_CEN_MU_Ret_JB_Ret-TravelAgain_1_WelcomeHome","{sfmc_email_base}_{market}"
"EDM_CEN_MU_Ret_JB_Ret-TravelAgain_2_Nostalgia","WWAPT","","TravelAgain Auto - Nostalgia","EDM_CEN_MU_Ret_JB_Ret-TravelAgain_2_Nostalgia_ALL","Opportunity MQL Journey","""To Contact"" path (Returner travel again auto)","travelagain-auto-nostalgia","WWAPT/travelagain-auto-nostalgia-wwapt.html","https://cc-content-static.pages.dev/WWAPT/travelagain-auto-nostalgia-wwapt.html","true","SFMC","GitHub static preview","github_folder_scan","ready","preview_slug","EDM_CEN_MU_Ret_JB_Ret-TravelAgain_2_Nostalgia","{sfmc_email_base}_{market}"
